ID,Year,State
1001,2020-2021,ACT
1002,2020-2021,Australia
1003,2020-2021,NSW
1004,2020-2021,NT
1005,2020-2021,Qld
1006,2020-2021,SA
1007,2020-2021,Tas
1008,2020-2021,Vic
1009,2020-2021,WA
1010,2019-2020,ACT
1011,2019-2020,NSW
1012,2019-2020,NT
1013,2019-2020,Qld
1014,2019-2020,SA
1015,2019-2020,Tas
1016,2019-2020,Vic
1017,2019-2020,WA
1018,2018-2019,ACT
1019,2018-2019,Australia
1020,2018-2019,NSW
1021,2018-2019,NT
1022,2018-2019,Qld
1023,2018-2019,SA
1024,2018-2019,Tas
1025,2018-2019,Vic
1026,2018-2019,WA
1027,2017-2018,ACT
1028,2017-2018,NSW
1029,2017-2018,NT
1030,2017-2018,Qld
1031,2017-2018,SA
1032,2017-2018,Tas
1033,2017-2018,Vic
1034,2017-2018,WA
1035,2016-2017,ACT
1036,2016-2017,NSW
1037,2016-2017,NT
1038,2016-2017,Qld
1039,2016-2017,SA
1040,2016-2017,Tas
1041,2016-2017,Vic
1042,2016-2017,WA
1043,2015-2016,ACT
1044,2015-2016,NSW
1045,2015-2016,NT
1046,2015-2016,Qld
1047,2015-2016,SA
1048,2015-2016,Tas
1049,2015-2016,Vic
1050,2015-2016,WA
1051,2014-2015,ACT
1052,2014-2015,NSW
1053,2014-2015,NT
1054,2014-2015,Qld
1055,2014-2015,SA
1056,2014-2015,Tas
1057,2014-2015,Vic
1058,2014-2015,WA
1059,2013-2014,ACT
1060,2013-2014,NSW
1061,2013-2014,NT
1062,2013-2014,Qld
1063,2013-2014,SA
1064,2013-2014,Tas
1065,2013-2014,Vic
1066,2013-2014,WA
1067,2012-2013,ACT
1068,2012-2013,NSW
1069,2012-2013,NT
1070,2012-2013,Qld
1071,2012-2013,SA
1072,2012-2013,Tas
1073,2012-2013,Vic
1074,2012-2013,WA
1075,2011-2012,ACT
1076,2011-2012,NSW
1077,2011-2012,NT
1078,2011-2012,Qld
1079,2011-2012,SA
1080,2011-2012,Tas
1081,2011-2012,Vic
1082,2011-2012,WA
1083,2010-2011,ACT
1084,2010-2011,NSW
1085,2010-2011,NT
1086,2010-2011,Qld
1087,2010-2011,SA
1088,2010-2011,Tas
1089,2010-2011,Vic
1090,2010-2011,WA
1091,2009-2010,ACT
1092,2009-2010,NSW
1093,2009-2010,NT
1094,2009-2010,Qld
1095,2009-2010,SA
1096,2009-2010,Tas
1097,2009-2010,Vic
1098,2009-2010,WA
1099,2008-2009,ACT
1100,2008-2009,NSW
1101,2008-2009,NT
1102,2008-2009,Qld
1103,2008-2009,SA
1104,2008-2009,Tas
1105,2008-2009,Vic
1106,2008-2009,WA
1107,2007-2008,ACT
1108,2007-2008,NSW
1109,2007-2008,NT
1110,2007-2008,Qld
1111,2007-2008,SA
1112,2007-2008,Tas
1113,2007-2008,Vic
1114,2007-2008,WA
1115,2006-2007,ACT
1116,2006-2007,NSW
1117,2006-2007,NT
1118,2006-2007,Qld
1119,2006-2007,SA
1120,2006-2007,Tas
1121,2006-2007,Vic
1122,2006-2007,WA
1123,2005-2006,ACT
1124,2005-2007,NSW
1125,2005-2008,NT
1126,2005-2009,Qld
1127,2005-2010,SA
1128,2005-2011,Tas
1129,2005-2012,Vic
1130,2005-2013,WA
